"Patricia Alejandra Behar",
"Silvia de Oliveira Kist",
"Juliano de Vargas Bittencourt",
"Marcos Augusto F. Borges",
"M. Cecília C. Baranauskas",
"Ana Carolina Bertoletti",
"Márcia Cristina Moraes",
"Antônio Carlos da Rocha Costa",
"Débora Maria Barroso Paiva",
"Maria das Graças Volpe Nunes",
"Maria da Graça Campos Pimentel",
"Rodrigo Ferrugem Cardoso",
"José Valdeni de Lima",
"Pedro Willibaldo Schuck",
"Lucia Maria Martins Giraffa",
"Janne Yukiko Yoshikawa Oeiras",
"Heloísa Vieira da Rocha",
"Fernanda Maria Pereira Freire",
"Luciana Alvim Santos Romani",
"Ricardo Luís Lachi",
"Joice L. Otsuka",
"Carla Lisiane de Oliveira Castanho",
"Raul Sidnei Wazlawick",
"Marcos José Silva e Cunha",
"Clovis Torres Fernandes",
"Sérgio Crespo C. S. Pinto",
"Eliane  Schlemmer",
"Cássia T. dos Santos",
"Cláudia C. Pérez",
"Letícia R. Rheinheimer",
"Alexandre Gonçalves Silva",
"Roberto de Alencar Lotufo",
"Rubens Campos Machado",
"Ana Marina Teixeira Araújo",
"Crediné Silva de Menezes",
"Davidson  Cury",
"Ana Cláudia H. Vieira",
"Luiz Antônio M. Palazzo",
"Patrícia C. A. R. Tedesco",
"José M. Parente de Oliveira",
"Lúbia Mara Lopes Rodrigues",
"Marco Aurélio Carvalho",
"Dilermando Piva Jr.",
"Jori Almeida de Amorim",
"Mauro Sérgio Miskulin",
"Ricardo Luis de Freitas",
"Rosana Giaretta Sguerra Miskulin",
"José Marques Pessoa",
"Hylson Vescovi Netto",
"Leonardo Magela Cunha",
"Hugo  Fuks",
"Carlos José Pereira de Licena",
"Silvana Rossy de Brito",
"Orivaldo de Lira Tavares",
"Credine Silva de Menezes",
"Debora Maria Coelho Nascimento",
"Arturo  Hernandez-Domínguez",
"Ulrich  Schiel",
"Henrique Nou Schneider",
"Joice Lee Otsuka",
"Luiz A. M. Palazzo",
"Antônio C. R. Costa",
"Graçaliz P. Dimuro",
"Fernando  Schrimbeck",
"Tânia Barbosa Salles Gava",
"Edson Pereira Cardoso",
"Lucia Barcellos Bazzarella",
"Alberto Nogueira de Castro Júnior",
"Beatriz R. T. Franciosi",
"Marilú F. de Medeiros",
"Rubem F. Vargas",
"Joyce M. Pernigotti",
"Juracy C. Marques",
"Anamaria L. Colla",
"Giuliano Araujo Bertoti",
"Nizam  Omar",
"Roberto  Castro",
"Glaucia da Silva Brito",
"Adolfo Cassoli Gomes",
"Sílvia Meirelles Leite",
"Sílvia Ferreto da Silva Moresco",
"Angela Carrancho da Silva",
"Alberto J. Cañas",
"Marco  Carvalho",
"Marco  Arguedas",
"Louise Jeanty de Seixas",
"Cecília Dias Flores",
"André Meyer Silvestre",
"Rosa  Vicari",
"Parcilene Fernandes de Brito",
"Fabiano  Fagundes",
"João Bosco da Mota Alves",
"Elaine Quintino da Silva",
"Vanderley Flor da Rosa",
"Dilvan de Abreu Moreira",
"José Pereira Emiliano",
"Cláudio Fernando Resin Geyer",
"Orlando Bisacchi Coelho",
"Daniel Monegatto Santoro",
"André Luiz Battaiola",
"Nassim Chamel Elias",
"Rodrigo de Godoy Domingues",
"Rodrigo  Assaf",
"Geber Lisboa Ramalho",
"André  Santanchè",
"Cesar Augusto Camillo Teixeira",
"Marisa  Lucena",
"José Cláudio Vahl Júnior",
"Mário de Souza Neto",
"Vanderson José Ildefonso Silva",
"Isaura Alcina Martins Nobre",
"Leandro Magela Cunha",
"Carlos José Pereira de Lucena",
"Flávia Maria Santoro",
"Marcos R. S. Borges",
"Neide  Santos",
"Ismar Frango Silveira",
"Maria Alice Grigas Varela Ferreira",
"Claudia Lage Rebello da Motta",
"Laura Maria Coutinho Lopes",
"Andréia Regina Pereira",
"Ana Paula Piovesan Melchiori Peruzza",
"Maria Aparecida Fernandes Almeida",
"Jorge Muniz Barreto",
"Eliane  Pozzebon",
"Almir Rogério Camolesi",
"João José Neto",
"Carlos José M. Olguín",
"Alberto B. Raposo",
"Ivan Luiz M. Ricarte",
"José Carlos Tavares da Silva",
"Bruno  Feijó",
"João  Vilhete",
"Luiz M. G. Gonçalves",
"Maria F. Garcia",
"Luciane T. S. Garcia",
"Maria Aparecida M. Souto",
"Regina  Verdin",
"Ricardo  Wainer",
"Milton  Madeira",
"Rosa M. Vicari",
"José Palazzo M. de Oliveira",
"Eduardo  Heredia",
"Jadir Custódio Mendonça",
"Rêmulo Maia Alves",
"Luciano de Errico",
"FulanoRenato Cardoso Mesquita",
"Tânia  Kist",
"Tiarajú Asmuz Diverio",
"Larissa  Tollens",
"Gláucia Sá Fortes Moreira",
"Ana Regina Rocha",
"Lísia  Rabelo",
"Fernanda  Campos",
"Anderson Ricardo Yanzer Cabral",
"Alexandre  Casacurta",
"Marcel Furtado Almeida",
"Ricardo Augusto da Luz Reis",
"Bianchi Serique Meiguins",
"Marcos Paulo Alves de Sousa",
"Luiz Affonso Guedes",
"Marcelo de Brito Garcia",
"Breno Serique Meiguins",
"Bruno  Queiroz",
"Carlos  Lopes",
"Márcia  Fernandes",
"Claudia Brandelero Rizzi",
"Sérgio Roberto Kieling Franco",
"Cristiane  Guimarães",
"Mônica D. Fernandes",
"Douglas Daniel Del Frari",
"Patricia Azevedo Tedesco",
"Alex Sandro Gomes",
"Fabio Ferrentini Sampaio",
"Marcos da Fonseca Elia",
"Giliane  Bernardi",
"Marcos Luís Cassal",
"Joelene de Oliveira de Lima",
"Denise Ferreira Garcia",
"Juliana  Miranda",
"Marcia Paul Waquil",
"Ellen Regina Mayé Nunes",
"Helena Sporleder Côrtes",
"Renata Couto Moreira",
"Jones Oliveira de Albuquerque",
"Cláudia M. Ribeiro Andrade",
"Thais Helena Chaves de Castro",
"Silvano Maneck Malfatti",
"Estela Maris Bolzan Engers",
"Janine Fraga Ribas",
"Maria Augusta Silveira Netto Nunes",
"Deise Juliana Francisco",
"Rose Mary Almas de Carvalho",
"Marina Moraes Felipe",
"Lúcia Regina Goulart Vilarinho",
"Iêda Carvalho Sande",
"Jorge Fernando Silva de Araujo",
"M. F.  Elia",
"Flávia Veloso de Souza",
"Vânia Marins Nobre",
"Claudia L.R. Motta",
"Marcos  Elia",
"Marco Aurélio Gerosa",
"Mariano Gomes Pimentel",
"Carlos J. P. de Lucena",
"Juliana Lucas de Rezende",
"Roseli P. Hansen",
"Sérgio Crespo S. C. Pinto",
"Kelly Assis de Souza",
"Michelle Denise Leonhardt",
"Ricardo  Neisse",
"Liane Margarida Rockenbach Tarouco",
"Roque  Moraes",
"Ingrid de Vargas Mito",
"Beatriz Regina Tavares Franciosi",
"Iranete  Lima",
"Hamid  Chaachoua",
"Letícia Rafaela Rheinheimer",
"Carlos Eduardo Ávila",
"Leonardo  Madeira",
"David Nadler Prata",
"Luís Henrique Raja Gabaglia Mitchell",
"Valter  Roesler",
"João Marcelo Ceron",
"Maiko de Andrade",
"Irene Karaguilla Ficheman",
"Ricardo Augusto Lipas",
"Susana Ester Krüger",
"Roseli de Deus Lopes",
"Aleksandra do Socorro Silva",
"Eloi Luiz Favero",
"Arturo  Hernández-Domínguez",
"Carlos Renato Lisboa Francês",
"Cláudia  Gama",
"Maria da Penha de Andrade Abi Harb",
"Marlon José Dognini",
"André Luís Alice Raabe",
"Silvia F. S. Moresco",
"Marcos Antônio Gomes Brandão",
"Mauricio Abreu Pinto Peixoto",
"Viviane Modesto Ferraz",
"Roberta Pereira Coutinho",
"Daniel Damas Guardanapo",
"Luciana Frasson Mesquita",
"Renata S. S. Guizzardi",
"Lora  Aroyo",
"Gerd  Wagner",
"Maria de Fátima Webber do Prado Lima",
"Genésio Gomes da Cruz Neto",
"Patricia  Tedesco",
"Thereza Patrícia Pereira Padilha",
"Leandro Maciel Almeida",
"Andréa Pereira Mendonça",
"Fernando da Fonseca de Souza",
"Saulo Jorge Beltrão de Queiroz",
"Vítor de Oliveira Batista",
"Ana Paula Ribeiro Ataíde",
"Adla Betsaida Martins Teixeira",
"Clarindo Isaías Pereira da Silva e Pádua",
"Maria de Fátima Ramos Brandão",
"Carlos Renato dos Santos Ramos",
"Bartholomeu T. Tróccoli",
"Alexandra Lorandi Macedo",
"Andressa Cristiani Piconi",
"Eduardo Hideki Tanaka",
"Vinícius Costa de Souza",
"Sérgio Crespo C. da Silva Pinto",
"Rosa Maria E. Moreira da Costa",
"Luis Alfredo V. de Carvalho",
"Claudia Regina Uchoa de Lima",
"Lucila Maria Costi Santarosa",
"Germana Menezes da Nóbrega",
"Stefano A. Cerri",
"Jean  Sallantin",
"Rachele Bianchi Sganderla",
"Débora Nice Ferrari",
"Cláudio F. R. Geyer",
"Francisco José Martins",
"Sérgio  Teixeira",
"Marcus V. C. Guelpeli",
"Carlos H. C. Ribeiro",
"Ricardo Azambuja Silveira",
"Eduardo Rodrigues Gomes",
"Sílvia Jenny Donaduzzi",
"Rafael  Welter",
"Edson P. Pimentel",
"Vilma F. de França",
"Louise J. Seixas",
"Cecilia D. Flores",
"João C. Gluz",
"Helder  Coelho",
"Patricia Augustin Jaques",
"Everton  Bocca",
"Rosa Maria Vicari",
"Adja Ferreira de Andrade",
"Lúcia M. M. Giraffa",
"Sabrina  Marczak",
"Lucia  Giraffa",
"Gláucio  Almeida",
"Marcelo  Blois",
"Ligia Flávia Antunes Batista",
"Alexandre Ibrahim Direne",
"José Tarcísio Pires Trindade",
"Itana Maria de Souza Gimenes",
"Omar Gemha Taha",
"Flávio Ferreira Borges",
"Fabiano  Dorça",
"Márcia A. Fernandes",
"Carlos R. Lopes",
"Anderson A. Teymeny",
"André  Ramos",
"Bruno Queiroz Pinto",
"Carlos Roberto Lopes",
"Andréa Teresa Riccio Barbosa",
"Fernando Mendes de Azevedo",
"Luiz Henrique Zeferino",
"Clevi Elena Rapkiewicz",
"Gudelia  Morales",
"Gabriel dos Santos",
"André Luiz Pires Guedes",
"Henriette Lebre La Rovere",
"Alizeu Francisco Schneider",
"Cássia Trojahn dos Santos",
"Fernando Santos Osório",
"Creto Augusto Vidal",
"Emanuele Marques dos Santos",
"Antonio José Melo Leite Júnior",
"Camilo Camilo Almendra",
"Vládia Maria Cabral Borges",
"Marcelo Knörich Zuffo",
"Rafael P. de Lira",
"M.  Santos",
"F. Luiz dos Santos",
"Juliana R. B. Diniz",
"Elizangela Bastos Hassan",
"Leila  Andrade",
"Jorge  Zavaleta",
"Francine  Vaz",
"Cabral  Lima",
"Catia  Araujo",
"Adriana  Soares",
"André Wilson Brotto Furtado",
"André Luís de Medeiros Santos",
"João Ricardo Bittencourt",
"Lucia Maria Giraffa",
"Flávio Galdino Xavier",
"Arion de Castro Kurtz dos Santos",
"Gustavo A. Giménez Lugo",
"A. B. Wozniak Giménez",
"J. S. Sichman",
"J. F. Hübner",
"Demetrius Ribeiro Lima",
"Marta Costa Rosatelli",
"Patricia C. de Souza",
"Raul S. Wazlawick",
"Marta C. Rosatelli",
"Maria Nícia Antunes",
"Elton José da Silva",
"Marcelo H. D. Abreu",
"Rodrigo Ferreira da Silva",
"Gianna Oliveira Roque",
"Vagner da Silva",
"Alexandre Lopes Machado",
"Felipe Afonso de Almeida",
"José Silvério Edmundo Germano",
"Edson Pinheiro Pimentel",
"Pollyana Notargiacomo Mustaro",
"Vilma Fernandes de França",
"Francisco Edson Lopes da Rocha",
"Roberta Vilhena Vieira",
"Julio Valente da Costa Jr",
"Alberto Barbosa Raposo",
"Ma. de Fatima C. de Souza",
"José Aires C. Filho",
"Mauro C. Pequeno",
"Hyggo Oliveira de Almeida",
"Luiz Eugênio Fernandes Tenório",
"Evandro de Barros Costa",
"Nadia Milena Barbosa",
"Frederico Moreira Bublitz",
"Alexandre Andrade Barbosa",
"Genessa  Robinson",
"Marcelo  Scopel",
"Junior  Martins",
"Leliane Nunes de Barros",
"Karina Valdivia Delgado",
"Andréia Cristina G. Machion",
"José Francisco de Magalhães Netto",
"Carine  Webber",
"Sylvie  Pesty",
