"JORNAIS-OU-REVISTAS_Author-URI","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-DA-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-DA-ESPECIALIDADE","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-DA-SUB-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-1_NOME-GRANDE-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-DA-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-DA-ESPECIALIDADE","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-DA-SUB-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-2_NOME-GRANDE-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-DA-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-DA-ESPECIALIDADE","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-DA-SUB-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AREAS-DO-CONHECIMENTO_AREA-DO-CONHECIMENTO-3_NOME-GRANDE-AREA-DO-CONHECIMENTO","JORNAIS-OU-REVISTAS_Object_AUTORES_0_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_0_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_0_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_0_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_1_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_1_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_1_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_1_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_2_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_2_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_2_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_2_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_3_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_3_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_3_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_3_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_4_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_4_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_4_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_4_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_5_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_5_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_5_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_5_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_AUTORES_NOME-COMPLETO-DO-AUTOR","JORNAIS-OU-REVISTAS_Object_AUTORES_NOME-PARA-CITACAO","JORNAIS-OU-REVISTAS_Object_AUTORES_NRO-ID-CNPQ","JORNAIS-OU-REVISTAS_Object_AUTORES_ORDEM-DE-AUTORIA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_ANO-DO-TEXTO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_DOI","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_FLAG-DIVULGACAO-CIENTIFICA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_FLAG-RELEVANCIA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_HOME-PAGE-DO-TRABALHO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_IDIOMA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_MEIO-DE-DIVULGACAO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_NATUREZA","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_PAIS-DE-PUBLICACAO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_TITULO-DO-TEXTO","JORNAIS-OU-REVISTAS_Object_DADOS-BASICOS-DO-TEXTO_TITULO-DO-TEXTO-INGLES","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_DATA-DE-PUBLICACAO","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_ISSN","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_LOCAL-DE-PUBLICACAO","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_PAGINA-FINAL","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_PAGINA-INICIAL","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_TITULO-DO-JORNAL-OU-REVISTA","JORNAIS-OU-REVISTAS_Object_DETALHAMENTO-DO-TEXTO_VOLUME","JORNAIS-OU-REVISTAS_Object_INFORMACOES-ADICIONAIS_DESCRICAO-INFORMACOES-ADICIONAIS","JORNAIS-OU-REVISTAS_Object_INFORMACOES-ADICIONAIS_DESCRICAO-INFORMACOES-ADICIONAIS-INGLES","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-1","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-2","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-3","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-4","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-5","JORNAIS-OU-REVISTAS_Object_PALAVRAS-CHAVE_PALAVRA-CHAVE-6","JORNAIS-OU-REVISTAS_Object_SEQUENCIA-PRODUCAO","JORNAIS-OU-REVISTAS_Object_SETORES-DE-ATIVIDADE_SETOR-DE-ATIVIDADE-1","JORNAIS-OU-REVISTAS_Object_SETORES-DE-ATIVIDADE_SETOR-DE-ATIVIDADE-2","JORNAIS-OU-REVISTAS_Object_SETORES-DE-ATIVIDADE_SETOR-DE-ATIVIDADE-3"
"http://www.ic.ufal.br/dac/author/lattes/2203704515345173","","","Divulgação de Pesquisa","Informática na Educação","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","Claudia Brandelero Rizzi","RIZZI, Claudia Brandelero","2203704515345173","1","Antônio Carlos da Rocha Costa","COSTA, Antônio Carlos da Rocha","5601943285331545","2","Sérgio Roberto Kieling Franco","FRANCO, Sérgio Roberto Kieling","6389325869865024","3","Jorge Bidarra","BIDARRA, Jorge","4214786666641182","4","Cristina Yassue Morimoto","MORIMOTO, Cristina Yassue","","5","","","","","","","","","2006","","NAO","SIM","","Português","VARIOS","REVISTA_MAGAZINE","Brasil","Um conjunto de requisitos para modelagem e acompanhamento de trabalhos síncronos e/ou assíncronos realizados por equipes: uma abordagem apoiada na Epistemologia Genética","","01072006","16791916","Porto Alegre","10","1","RENOTE - Revista Novas Tecnologias na Educação","4","","","Trabalho cooperativo","Epistemologia Genética","","","","","143","Formação Permanente e Outras Atividades de Ensino, Inclusive Educação À Distância e Educação Especial","",""
"http://www.ic.ufal.br/dac/author/lattes/3549648389944031","","","","","","","","","","","","","","Maria das Graças Volpe Nunes","NUNES, M. G. V.;Graças Volpe Nunes, Maria;Nunes, Maria Das Graças Volpe;Nunes, M.G.V.;Nunes, Maria G.V.;Maria das Graças Volpe Nunes;Nunes, Maria das Graças Volpe","3549648389944031","1","Osvaldo N Oliveira Jr","OLIVEIRA JR, Osvaldo N","8582867831317500","2","Maria Cristina F Oliveira","OLIVEIRA, Maria Cristina F","","3","","","","","","","","","","","","","","","","","1998","","NAO","NAO","http://www.smf.mx/boletin/Jul-98/articles/speak.html","Espanhol","HIPERTEXTO","REVISTA_MAGAZINE","México","Por qué aún no podemos hablar con una computadora. Boletín de la Sociedad Mexicana de Física. Vol. 12 Nro.3, Julio-Septiembre.","","06091998","","Cidade do México","9","1","Boletín de la Sociedad Mexicana de Física.","12","","","","","","","","","493","","",""
"http://www.ic.ufal.br/dac/author/lattes/3748260693106586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marcos Sfair Sunye","SUNYE, Marcos Sfair;Sunye, Marcos S.","3748260693106586","1","2006","","NAO","NAO","http://www.pr.gov.br/batebyte/edicoes/2006/bb149/entrevista.shtml","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Tecnologia sem barreiras","","01052006","","curitiba","9","4","Revista Bate Byte","","","","software Livre","Sistemas Tutoriais de Ensino","POSTGRESQL","","","","52","","",""
"http://www.ic.ufal.br/dac/author/lattes/2482014486805534","","","","","CIENCIAS_HUMANAS","","","","","","","","","João Coelho Neto","COELHO NETO, João","","1","Anair Altoé","ALTOE, A.","3089523318618883","2","","","","","","","","","","","","","","","","","","","","","2009","","NAO","NAO","http://www.histedbr.fae.unicamp.br/revista/edicoes/35/index.html","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","EDUCAÇÃO E INFORMÁTICA: UM ESTUDO SOBRE O USO DE AMBIENTES INFORMATIZADOS COM ALUNOS DO CURSO DE PEDAGOGIA DA UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ ? CAMPUS DE CORNÉLIO PROCÓPIO","","01092009","16762584","Campinas","1","1","Revista HISTEDBR On-line","9","Publicado na Revista HISTEDBR On-Line - v. 9, n. 35 (2009): Revista HISTEDBR - setembro/2009 - Resumo - ISSN: 1676-2584.","","Formação de Professores","Internet","Educação Básica","Processo Ensino e Apredizagem","","","117","Educação","",""
"http://www.ic.ufal.br/dac/author/lattes/3477003700131295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eduardo Felipe Zambom Santana","SANTANA, E. F. Z.","3477003700131295","1","2012","","NAO","NAO","http://www.devmedia.com.br/rmi-primeiros-passos-revista-easy-java-magazine-17/24135","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","RMI: Primeiros passos","","","","","","","Easy Java Magazine","","","","","","","","","","26","","",""
"http://www.ic.ufal.br/dac/author/lattes/7909976127880843","","","Sistemas de Informação","Metodologia e Técnicas da Computação","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Processamento Gráfico (Graphics)","Metodologia e Técnicas da Computação","CIENCIAS_EXATAS_E_DA_TERRA","","","","","Diego Tumelero","TUMELERO, Diego","","1","Vinícius Michelin","MICHELIN, Vinícius","","2","Jacques Duílio Brancher","BRANCHER, J. D.;BRANCHER, JACQUES DUÍLIO","7909976127880843","3","","","","","","","","","","","","","","","","","2004","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Construção de Objetos Tridimensionais para Jogos de Computador com Blender","","10102004","","São Paulo","62","58","Revista Linux Magazine","3","","","Blender","Linux","Software Livre","","","","157","Desenvolvimento de Programas (Software)","",""
"http://www.ic.ufal.br/dac/author/lattes/3090969413342098","","","","Telecomunicações","ENGENHARIAS","Ciência da Computação","","Metodologia e Técnicas da Computação","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arthur Tórgo Gómez","GÓMEZ, A. T.","","1","2008","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Inovação - No seleto time da TV Digital","","01102008","","São Leopoldo","21","20","Revista Magis","","","","Tv Digital","Codec","Camada de transporte","","","","487","Fabricação de Material Eletrônico e de Aparelhos e Equipamentos de Comunicações","",""
"http://www.ic.ufal.br/dac/author/lattes/5295520104954784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carlos Ariel Samudio Pérez","SAMUDIO PÉREZ, C. A.;PÉREZ, C.A.S.;Pérez, C. A. Samudio;Samudio Pérez, C. A.;PÉREZ, C. A. S.;SAMUDIO PÉREZ, C.A.;PÉREZ, CARLOS A.S.;SAMUDIO, C.A.P.;Samudio, Carlos Ariel;SAMUDIO PÉREZ, CARLOS ARIEL","5295520104954784","1","2003","","NAO","NAO","","Português","IMPRESSO","JORNAL_DE_NOTICIAS","Brasil","A evolução dos ímãs","","24112003","","Passo Fundo","10","10","O Nacional","","","","","","","","","","71","","",""
"http://www.ic.ufal.br/dac/author/lattes/2482014486805534","","","","","CIENCIAS_HUMANAS","","","","","","","","","João Coelho Neto","COELHO NETO, João","","1","Anair Altoé","ALTOE, A.","3089523318618883","2","","","","","","","","","","","","","","","","","","","","","2009","","NAO","NAO","http://www.histedbr.fae.unicamp.br/revista/edicoes/35/index.html","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","EDUCAÇÃO E INFORMÁTICA: UM ESTUDO SOBRE O USO DE AMBIENTES INFORMATIZADOS COM ALUNOS DO CURSO DE PEDAGOGIA DA UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ ? CAMPUS DE CORNÉLIO PROCÓPIO","","01092009","16762584","Campinas","1","1","Revista HISTEDBR On-line","9","Publicado na Revista HISTEDBR On-Line - v. 9, n. 35 (2009): Revista HISTEDBR - setembro/2009 - Resumo - ISSN: 1676-2584.","","Formação de Professores","Internet","Educação Básica","Processo Ensino e Apredizagem","","","117","Educação","",""
"http://www.ic.ufal.br/dac/author/lattes/4633694457560431","","","Gerência do Projeto e do Produto","Engenharia do Produto","ENGENHARIAS","Engenharia de Produção","Desenvolvimento de Produto","Engenharia do Produto","ENGENHARIAS","","","","","Júlio C V Ferreira","FERREIRA, J. C. V.","","1","Ricardo Manfredi Naveiro","NAVEIRO, R. M.;Naveiro, Ricardo Manfredi;NAVEIRO, RICARDO M.","4633694457560431","2","","","","","","","","","","","","","","","","","","","","","2001","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","O uso do projeto orientado à montagem e à manufatura no desenvolvimento de produtos","","01102001","00252700","Rio de Janeiro","83","72","Revista Máquinas e Metais","429","","","gerência do projeto de produto","","","","","","91","","",""
"http://www.ic.ufal.br/dac/author/lattes/1315509984364413","","","","Sistemas de Computação","CIENCIAS_EXATAS_E_DA_TERRA","Matemática","","Geometria e Topologia","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jacques Nelson Corleta Schreiber","SCHREIBER, J. N. C.","1315509984364413","1","1999","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","O Bug do Milênio","","01091999","","Santa Cruz do Sul","21","20","Agora","","","","Ciência da Computação","","","","","","13","","",""
"http://www.ic.ufal.br/dac/author/lattes/7219178586824787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ana Angélica Mathias Macêdo","MACEDO, A. A. M.","","1","2013","","NAO","NAO","http://conexoes.ifce.edu.br/index.php/conexoes/article/view/615/374","Português","VARIOS","REVISTA_MAGAZINE","Brasil","Editorial","","01062013","21760144","Fortaleza- Ceará","1","1","Editorial","","ISSN Impresso: 1982-176X; ISSN Eletrônico: 2176-0144&#10;&#10;Conex. Ci. e Tecnol. Fortaleza/CE v. 7 n. 2 p. 1-74 jun. 2013","","","","","","","","284","","",""
"http://www.ic.ufal.br/dac/author/lattes/1957526921210046","","","Computação para Deficientes","Sistemas de Computação","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","José Antonio dos Santos Borges","BORGES, J. A. S.","","1","1988","","NAO","NAO","http://www.rehab-international.org/publications/10_19F.htm","Francês","IMPRESSO","REVISTA_MAGAZINE","Brasil","Le Projet DOSVOX - Comment changer la vie de milliers d'aveugles brésiliens","","01071988","","UNESCO (mundial)","11","8","One in Ten - Rehabilitation International - Disabled Magazine","","","","Computação para Deficientes","Desenvolvimento social dos deficientes","","","","","33","","",""
"http://www.ic.ufal.br/dac/author/lattes/0613747031153951","","","","","","","","","","","","","","Carlos Montez","Montez, C.","","2","Jomar Alberto Andreata","ANDREATA, J. A.","","1","","","","","","","","","","","","","","","","","","","","","2007","","NAO","NAO","http://editora.metodista.br/revista_com_48.htm#sumario","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Ensino a distância no ambiente da televisão digital interativa","","01092007","01012657","São Paulo","","","Comunicação & Sociedade - Nº 48","","","","","","","","","","4","","",""
"http://www.ic.ufal.br/dac/author/lattes/0931488279366439","","Ciência da Computação","","","CIENCIAS_EXATAS_E_DA_TERRA","Educação Física","","","CIENCIAS_DA_SAUDE","","","","","Alexandre Cruz Berg","BERG, A. C.","","2","Jader Denicol do Amaral","AMARAL, J. D.","","3","Martin Streibel","STREIBEL, M.","","1","","","","","","","","","","","","","","","","","1999","","","NAO","http://www.inf.ufsc.br/sbc-ie/revista/nr4/062RS-berg.htm","Português","VARIOS","REVISTA_MAGAZINE","Brasil","A INFORMÁTICA E SUAS APLICAÇÕES EM EDUCAÇÃO FÍSICA","","04041999","14145685","","","","Revista Brasileira de Informática na Educação","","Resenha remetida com base em estudos realizados através de linha de pesquisa.","","Multimidia","Educação a Distância","","","","","1","","",""
"http://www.ic.ufal.br/dac/author/lattes/5388114438088803","","","","","CIENCIAS_HUMANAS","","","","","","","","","Fernanda Batistela","BATISTELA, Fernanda","5388114438088803","1","Aline Nadal","NADAL, A.","","2","","","","","","","","","","","","","","","","","","","","","2015","","SIM","NAO","www.ceedo.com.br","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","Não me atrapalhe, mãe ? Eu estou aprendendo! Como os videogames estão preparando nossos filhos para o sucesso no século XXI ? e  como você pode ajudar!","","30062015","18094589","Cerro Grande-RS,","76","72","ÀGORA Revista Eletrônica","","","","","","","","","","137","","",""
"http://www.ic.ufal.br/dac/author/lattes/4038730280834132","","","","","","","","","","","","","","Itana Maria Gimenes","GIMENES, I. M.","","1","Ig Ibert Bittencourt Santana Pinto","BITTENCOURT, IG, I.","","2","","","","","","","","","","","","","","","","","","","","","2013","","NAO","NAO","www.sbc.org.br","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","DesafiE! II Workshop de desafios da computação aplicado a educação","","01082013","15198219","","40","36","Revista Computação Brasil","","","","","","","","","","508","","",""
"http://www.ic.ufal.br/dac/author/lattes/2533218769833747","","","Tecnologia Educacional","Ensino-Aprendizagem","CIENCIAS_HUMANAS","Educação","","","CIENCIAS_HUMANAS","","","","","Arthur Guimarães","GUIMARÃES, Arthur","","1","Ítalo Modesto Dutra","DUTRA, Í. M.","2533218769833747","2","","","","","","","","","","","","","","","","","","","","","2004","","NAO","NAO","http://www.novaescola.com.br","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Um software que ajuda a radiografar o raciocínio","","01032004","01030116","São Paulo-SP","43","42","Revista Nova Escola","170","","","mapas conceituais","software","educação básica","","","","65","","",""
"http://www.ic.ufal.br/dac/author/lattes/","","","","","","","","","","","","","","Davidson Cury","CURY, D.","9575037824966283","2","Maria Cláudia Silva Boeres","BOERES, M. C. S.","0528154281423964","3","Juliana Hiroko Kowata","KOWATA, J. H.","","1","","","","","","","","","","","","","","","","","2012","","","NAO","http://www.br-ie.org/pub/index.php/rbie/article/view/1367/1192","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","Em direção à construção automática de Mapas Conceituais a partir de textos","","","14145685","","49","33","Revista Brasileira de Informática na Educação","","","","","","","","","","8","","",""
"http://www.ic.ufal.br/dac/author/lattes/2007782081314920","","","Tratamentos e Aproveitamento de Rejeitos","Tecnologia Química","ENGENHARIAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fábio Merçon","MERÇON, F.;MERÇON, FÁBIO;MERÇON, FABIO","2007782081314920","1","2004","","NAO","NAO","","Português","IMPRESSO","JORNAL_DE_NOTICIAS","Brasil","Membranas Poliméricas","","01052004","","Niterói","12","12","Jornal de Plásticos","","","","processos de separação com membranas","","","","","","223","Desenvolvimento de Novos Materiais","",""
"http://www.ic.ufal.br/dac/author/lattes/4898201916360294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Luciana de Souza Gracioso","GRACIOSO, L. S.;GRACIOSO, LUCIANA DE SOUZA","4898201916360294","1","2012","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Biblioteconomia e Ciência da Informação","","","","","","","Folder","","","","","","","","","","370","","",""
"http://www.ic.ufal.br/dac/author/lattes/2703384157059932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maria Celeste Reis Fernandes de Souza","SOUZA, M. C. R. F.;SOUZA, MARIA CELESTE REIS FERNANDES;SOUZA, MARIA CELESTE REIS FERNANDES DE;FERNANDES, Maria Celeste de Souza","2703384157059932","1","2003","","NAO","SIM","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","De sentidos e Cuidados: O universo feminino na EJA","","08102003","","Governador Valadares","53","51","Revista Laço","","","","","","","","","","3","","",""
"http://www.ic.ufal.br/dac/author/lattes/4038730280834132","","","","","","","","","","","","","","Itana Maria Gimenes","GIMENES, I. M.","","1","Ig Ibert Bittencourt Santana Pinto","BITTENCOURT, IG, I.","","2","","","","","","","","","","","","","","","","","","","","","2013","","NAO","NAO","www.sbc.org.br","Português","MEIO_DIGITAL","REVISTA_MAGAZINE","Brasil","DesafiE! II Workshop de desafios da computação aplicado a educação","","01082013","15198219","","40","36","Revista Computação Brasil","","","","","","","","","","508","","",""
"http://www.ic.ufal.br/dac/author/lattes/","","Ciência da Computação","","Sistemas de Computação","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","Tiago Takamoto","TAKAMOTO, T.","","2","Rafael Navarro","NAVARRO, R.","","3","Jose Claudio Vahl Junior","VAHL JUNIOR, J. C.","","1","","","","","","","","","","","","","","","","","2009","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","OpenSocial - A tradução da Torre de Babel nas redes sociais","OpenSocial - The Tower of Babel translation in social networks","01042009","","","","","Java Magazine","","","","Comunicação mediada por computador","Mídias sociais","","","","","10","Atividades dos serviços de tecnologia da informação","",""
"http://www.ic.ufal.br/dac/author/lattes/4394162331037750","","","Engenharia de Software","Metodologia e Técnicas da Computação","CIENCIAS_EXATAS_E_DA_TERRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alberto Barbosa Raposo","RAPOSO, A. B.;RAPOSO, A.;RAPOSO, ALBERTO B.;Raposo, Alberto Barbosa;Raposo, Alberto","4394162331037750","1","1995","","NAO","NAO","","Português","IMPRESSO","REVISTA_MAGAZINE","Brasil","Engenharia de Software: Disciplinando a Programação","","","","Rio de Janeiro","16","14","CPU-PC","IV(19)","","","Engenharia de Software","","","","","","4","","",""
